# 商户别名表（纯国内版）：关键词 <TAB> 分类
#
# 只保留中文商户。原版里的 157 条拉丁规则（WOOLWORTHS / TRANSPORTFORNSW / OPAL …）
# 对国内用户永远不会命中，留着只有体积和误命中风险。
#
# 匹配规则：对通知全文做「不区分大小写的子串匹配」；加载时按关键词长度降序排列，
# 因此更具体的词自动优先。分类必须存在（预设 + 用户自定义），否则该行被忽略。

# ==================== 餐饮 ====================
星巴克	餐饮
瑞幸	餐饮
麦当劳	餐饮
肯德基	餐饮
必胜客	餐饮
汉堡王	餐饮
海底捞	餐饮
西贝	餐饮
真功夫	餐饮
沙县	餐饮
兰州拉面	餐饮
美团外卖	餐饮
饿了么	餐饮
喜茶	餐饮
奈雪	餐饮
蜜雪冰城	餐饮
古茗	餐饮
茶百道	餐饮
火锅	餐饮
烧烤	餐饮
餐厅	餐饮
饭店	餐饮
食堂	餐饮
咖啡	餐饮
奶茶	餐饮
早餐	餐饮
午餐	餐饮
晚餐	餐饮
外卖	餐饮

# ==================== 交通 ====================
滴滴	交通
高德打车	交通
曹操出行	交通
T3出行	交通
花小猪	交通
铁路	交通
地铁	交通
公交	交通
出租车	交通
停车	交通
高速	交通
加油	交通
中国石化	交通
中国石油	交通
壳牌	交通
东方航空	交通
南方航空	交通
国际航空	交通
春秋航空	交通
机票	交通

# ==================== 购物 ====================
淘宝	购物
天猫	购物
京东	购物
拼多多	购物
唯品会	购物
苏宁	购物
优衣库	购物
无印良品	购物
名创优品	购物
屈臣氏	购物
沃尔玛	购物
永辉	购物
盒马	购物
山姆	购物
便利店	购物
全家便利	购物
罗森	购物
超市	购物

# ==================== 娱乐 ====================
哔哩哔哩	娱乐
爱奇艺	娱乐
腾讯视频	娱乐
优酷	娱乐
芒果TV	娱乐
网易云音乐	娱乐
QQ音乐	娱乐
王者荣耀	娱乐
原神	娱乐
电影	娱乐
万达影城	娱乐
健身	娱乐

# ==================== 居住 ====================
房租	居住
物业	居住
水费	居住
电费	居住
燃气	居住
宽带	居住
话费	居住
中国移动	居住
中国联通	居住
中国电信	居住

# ==================== 教育 ====================
学费	教育
考试费	教育
报名费	教育
培训	教育
新东方	教育
网课	教育
教材	教育
当当	教育
知乎盐选	教育

# ==================== 其他（服务类，分类表里没有更贴切的）====================
理发	其他
美发	其他
剪发	其他
洗衣	其他
干洗	其他
快递	其他
手续费	其他

# ==================== 医疗（自定义分类，用户没建时这些规则自动跳过）====================
医院	医疗
诊所	医疗
挂号	医疗
药房	医疗
药店	医疗
牙科	医疗
体检	医疗
宠物医院	医疗
兽医	医疗
